KUNTANRO;KUNTANIMIFI;KUNTANIMISV;KUNTAMUOTO;KIELISYYS;VAALIPIIRINRO;VAALIPIIRIFI;VAALIPIIRISV;MAISTRAATTINRO;MAISTRAATTINIMIFI;MAISTRAATTINIMISV;PALVELUYKSIKKÖNRO;PALVELUYKSIKKÖFI;PALVELUYKSIKKÖSV;MAAKUNTANRO;MAAKUNTANIMIFI;MAAKUNTANIMISV
607;Polvijärvi;Polvijärvi;Kunta;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;125; Joensuun yksikkö; Enheten i Joensuu;11;Pohjois-Karjala;Norra Karelen
608;Pomarkku;Påmark;Kunta;suomi;4;Satakunnan vaalipiiri;Satakunta valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;110; Porin yksikkö; Enheten i Björneborg;3;Satakunta;Satakunta
609;Pori;Björneborg;Kaupunki;suomi;4;Satakunnan vaalipiiri;Satakunta valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;110; Porin yksikkö; Enheten i Björneborg;3;Satakunta;Satakunta
611;Pornainen;Borgnäs;Kunta;suomi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;332; Hyvinkään yksikkö; Enheten i Hyvinge;1;Uusimaa;Nyland
614;Posio;Posio;Kunta;suomi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;758; Rovaniemen yksikkö; Enheten i Rovaniemi;18;Lappi;Lappland
615;Pudasjärvi;Pudasjärvi;Kaupunki;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;127; Oulun yksikkö; Enheten i Uleåborg;16;Pohjois-Pohjanmaa;Norra Österbotten
616;Pukkila;Pukkila;Kunta;suomi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;324; Porvoon yksikkö; Enheten i Borgå;1;Uusimaa;Nyland
619;Punkalaidun;Punkalaidun;Kunta;suomi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;114; Tampereen yksikkö; Enheten i Tammerfors;5;Pirkanmaa;Birkaland
620;Puolanka;Puolanka;Kunta;suomi - ruotsi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;756; Kajaanin yksikkö; Enheten i Kajana;17;Kainuu;Kajanaland
623;Puumala;Puumala;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;124; Savonlinnan yksikkö; Enheten i Nyslott;9;Etelä-Savo;Södra Savolax
624;Pyhtää;Pyttis;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;790;Kaakkois-Suomen maistraatti;Magistraten i Sydöstra Finland;106; Kotkan yksikkö; Enheten i Kotka;7;Kymenlaakso;Kymmenedalen
625;Pyhäjoki;Pyhäjoki;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;128; Raahen yksikkö; Enheten i Brahestad;16;Pohjois-Pohjanmaa;Norra Österbotten
626;Pyhäjärvi;Pyhäjärvi;Kaupunki;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;130; Ylivieskan yksikkö; Enheten i Ylivieska;16;Pohjois-Pohjanmaa;Norra Österbotten
630;Pyhäntä;Pyhäntä;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;127; Oulun yksikkö; Enheten i Uleåborg;16;Pohjois-Pohjanmaa;Norra Österbotten
631;Pyhäranta;Pyhäranta;Kunta;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;111; Rauman yksikkö; Enheten i Raumo;2;Varsinais-Suomi;Egentliga Finland
635;Pälkäne;Pälkäne;Kunta;suomi - ruotsi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;114; Tampereen yksikkö; Enheten i Tammerfors;5;Pirkanmaa;Birkaland
636;Pöytyä;Pöytyä;Kunta;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;108; Salon yksikkö; Enheten i Salo;2;Varsinais-Suomi;Egentliga Finland
638;Porvoo;Borgå;Kaupunki;suomi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;324; Porvoon yksikkö; Enheten i Borgå;1;Uusimaa;Nyland
678;Raahe;Brahestad;Kaupunki;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;128; Raahen yksikkö; Enheten i Brahestad;16;Pohjois-Pohjanmaa;Norra Österbotten
680;Raisio;Reso;Kaupunki;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;107; Turun yksikkö; Enheten i Åbo;2;Varsinais-Suomi;Egentliga Finland
681;Rantasalmi;Rantasalmi;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;124; Savonlinnan yksikkö; Enheten i Nyslott;9;Etelä-Savo;Södra Savolax
683;Ranua;Ranua;Kunta;suomi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;758; Rovaniemen yksikkö; Enheten i Rovaniemi;18;Lappi;Lappland
684;Rauma;Raumo;Kaupunki;suomi;4;Satakunnan vaalipiiri;Satakunta valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;111; Rauman yksikkö; Enheten i Raumo;3;Satakunta;Satakunta
686;Rautalampi;Rautalampi;Kunta;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;120; Kuopion yksikkö; Enheten i Kuopio;10;Pohjois-Savo;Norra Savolax
687;Rautavaara;Rautavaara;Kunta;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;120; Kuopion yksikkö; Enheten i Kuopio;10;Pohjois-Savo;Norra Savolax
689;Rautjärvi;Rautjärvi;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;790;Kaakkois-Suomen maistraatti;Magistraten i Sydöstra Finland;104; Lappeenrannan yksikkö; Enheten i Villmanstrand;8;Etelä-Karjala;Södra Karelen
691;Reisjärvi;Reisjärvi;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;130; Ylivieskan yksikkö; Enheten i Ylivieska;16;Pohjois-Pohjanmaa;Norra Österbotten
694;Riihimäki;Riihimäki;Kaupunki;suomi;6;Hämeen vaalipiiri;Tavastlands valkrets;791;Hämeen maistraatti;Magistraten i Tavastland;722; Hämeenlinnan yksikkö; Enheten i Tavastehus;4;Kanta-Häme;Egentliga Tavastland
697;Ristijärvi;Ristijärvi;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;756; Kajaanin yksikkö; Enheten i Kajana;17;Kainuu;Kajanaland
698;Rovaniemi;Rovaniemi;Kaupunki;suomi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;758; Rovaniemen yksikkö; Enheten i Rovaniemi;18;Lappi;Lappland
700;Ruokolahti;Ruokolahti;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;790;Kaakkois-Suomen maistraatti;Magistraten i Sydöstra Finland;104; Lappeenrannan yksikkö; Enheten i Villmanstrand;8;Etelä-Karjala;Södra Karelen
702;Ruovesi;Ruovesi;Kunta;suomi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;115; Mänttä-Vilppulan yksikkö; Enheten i Mänttä-Vilppula;5;Pirkanmaa;Birkaland
704;Rusko;Rusko;Kunta;ruotsi - suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;107; Turun yksikkö; Enheten i Åbo;2;Varsinais-Suomi;Egentliga Finland
707;Rääkkylä;Rääkkylä;Kunta;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;125; Joensuun yksikkö; Enheten i Joensuu;11;Pohjois-Karjala;Norra Karelen
710;Raasepori;Raseborg;Kaupunki;suomi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;321; Raaseporin yksikkö; Enheten i Raseborg;1;Uusimaa;Nyland
729;Saarijärvi;Saarijärvi;Kaupunki;suomi;11;Keski-Suomen vaalipiiri;Mellersta Finlands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;113; Jyväskylän yksikkö; Enheten i Jyväskylä;12;Keski-Suomi;Mellersta Finland
732;Salla;Salla;Kunta;ruotsi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;758; Rovaniemen yksikkö; Enheten i Rovaniemi;18;Lappi;Lappland
734;Salo;Salo;Kaupunki;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;108; Salon yksikkö; Enheten i Salo;2;Varsinais-Suomi;Egentliga Finland
736;Saltvik;Saltvik;Kunta;suomi;5;Ahvenanmaan maakunnan vaalipiiri;Landskapet Ålands valkrets;718;Statens ämbetsverk på Åland Magistratsavdelningen;Statens ämbetsverk på Åland Magistratsavdelningen;;0;0;19;Ahvenanmaa;Åland
738;Sauvo;Sagu;Kunta;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;107; Turun yksikkö; Enheten i Åbo;2;Varsinais-Suomi;Egentliga Finland
739;Savitaipale;Savitaipale;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;790;Kaakkois-Suomen maistraatti;Magistraten i Sydöstra Finland;104; Lappeenrannan yksikkö; Enheten i Villmanstrand;8;Etelä-Karjala;Södra Karelen
740;Savonlinna;Nyslott;Kaupunki;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;124; Savonlinnan yksikkö; Enheten i Nyslott;9;Etelä-Savo;Södra Savolax
742;Savukoski;Savukoski;Kunta;suomi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;758; Rovaniemen yksikkö; Enheten i Rovaniemi;18;Lappi;Lappland
743;Seinäjoki;Seinäjoki;Kaupunki;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;119; Seinäjoen yksikkö; Enheten i Seinäjoki;13;Etelä-Pohjanmaa;Södra Österbotten
746;Sievi;Sievi;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;130; Ylivieskan yksikkö; Enheten i Ylivieska;16;Pohjois-Pohjanmaa;Norra Österbotten
747;Siikainen;Siikainen;Kunta;suomi;4;Satakunnan vaalipiiri;Satakunta valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;110; Porin yksikkö; Enheten i Björneborg;3;Satakunta;Satakunta
748;Siikajoki;Siikajoki;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;128; Raahen yksikkö; Enheten i Brahestad;16;Pohjois-Pohjanmaa;Norra Österbotten
749;Siilinjärvi;Siilinjärvi;Kunta;suomi - ruotsi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;120; Kuopion yksikkö; Enheten i Kuopio;10;Pohjois-Savo;Norra Savolax
751;Simo;Simo;Kunta;suomi - ruotsi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;757; Kemin yksikkö; Enheten i Kemi;18;Lappi;Lappland
753;Sipoo;Sibbo;Kunta;suomi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;324; Porvoon yksikkö; Enheten i Borgå;1;Uusimaa;Nyland
755;Siuntio;Sjundeå;Kunta;suomi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;314; Espoon yksikkö; Enheten i Esbo;1;Uusimaa;Nyland
758;Sodankylä;Sodankylä;Kunta;suomi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;759; Kittilän yksikkö; Enheten i Kittilä;18;Lappi;Lappland
759;Soini;Soini;Kunta;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;119; Seinäjoen yksikkö; Enheten i Seinäjoki;13;Etelä-Pohjanmaa;Södra Österbotten
761;Somero;Somero;Kaupunki;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;108; Salon yksikkö; Enheten i Salo;2;Varsinais-Suomi;Egentliga Finland
762;Sonkajärvi;Sonkajärvi;Kunta;ruotsi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;121; Iisalmen yksikkö; Enheten i Idensalmi;10;Pohjois-Savo;Norra Savolax
765;Sotkamo;Sotkamo;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;756; Kajaanin yksikkö; Enheten i Kajana;17;Kainuu;Kajanaland
766;Sottunga;Sottunga;Kunta;ruotsi;5;Ahvenanmaan maakunnan vaalipiiri;Landskapet Ålands valkrets;718;Statens ämbetsverk på Åland Magistratsavdelningen;Statens ämbetsverk på Åland Magistratsavdelningen;;0;0;19;Ahvenanmaa;Åland
768;Sulkava;Sulkava;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;124; Savonlinnan yksikkö; Enheten i Nyslott;9;Etelä-Savo;Södra Savolax
771;Sund;Sund;Kunta;suomi;5;Ahvenanmaan maakunnan vaalipiiri;Landskapet Ålands valkrets;718;Statens ämbetsverk på Åland Magistratsavdelningen;Statens ämbetsverk på Åland Magistratsavdelningen;;0;0;19;Ahvenanmaa;Åland
777;Suomussalmi;Suomussalmi;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;756; Kajaanin yksikkö; Enheten i Kajana;17;Kainuu;Kajanaland
778;Suonenjoki;Suonenjoki;Kaupunki;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;120; Kuopion yksikkö; Enheten i Kuopio;10;Pohjois-Savo;Norra Savolax
781;Sysmä;Sysmä;Kunta;suomi;6;Hämeen vaalipiiri;Tavastlands valkrets;791;Hämeen maistraatti;Magistraten i Tavastland;723; Lahden yksikkö; Enheten i Lahtis;6;Päijät-Häme;Päijänne-Tavastland
783;Säkylä;Säkylä;Kunta;suomi;4;Satakunnan vaalipiiri;Satakunta valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;110; Porin yksikkö; Enheten i Björneborg;3;Satakunta;Satakunta
785;Vaala;Vaala;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;127; Oulun yksikkö; Enheten i Uleåborg;16;Pohjois-Pohjanmaa;Norra Österbotten
790;Sastamala;Sastamala;Kaupunki;suomi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;114; Tampereen yksikkö; Enheten i Tammerfors;5;Pirkanmaa;Birkaland
791;Siikalatva;Siikalatva;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;127; Oulun yksikkö; Enheten i Uleåborg;16;Pohjois-Pohjanmaa;Norra Österbotten
831;Taipalsaari;Taipalsaari;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;790;Kaakkois-Suomen maistraatti;Magistraten i Sydöstra Finland;104; Lappeenrannan yksikkö; Enheten i Villmanstrand;8;Etelä-Karjala;Södra Karelen
832;Taivalkoski;Taivalkoski;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;127; Oulun yksikkö; Enheten i Uleåborg;16;Pohjois-Pohjanmaa;Norra Österbotten
833;Taivassalo;Tövsala;Kunta;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;111; Rauman yksikkö; Enheten i Raumo;2;Varsinais-Suomi;Egentliga Finland
834;Tammela;Tammela;Kunta;suomi;6;Hämeen vaalipiiri;Tavastlands valkrets;791;Hämeen maistraatti;Magistraten i Tavastland;722; Hämeenlinnan yksikkö; Enheten i Tavastehus;4;Kanta-Häme;Egentliga Tavastland
837;Tampere;Tammerfors;Kaupunki;suomi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;114; Tampereen yksikkö; Enheten i Tammerfors;5;Pirkanmaa;Birkaland
844;Tervo;Tervo;Kunta;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;120; Kuopion yksikkö; Enheten i Kuopio;10;Pohjois-Savo;Norra Savolax
845;Tervola;Tervola;Kunta;suomi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;757; Kemin yksikkö; Enheten i Kemi;18;Lappi;Lappland
846;Teuva;Östermark;Kunta;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;119; Seinäjoen yksikkö; Enheten i Seinäjoki;13;Etelä-Pohjanmaa;Södra Österbotten
848;Tohmajärvi;Tohmajärvi;Kunta;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;125; Joensuun yksikkö; Enheten i Joensuu;11;Pohjois-Karjala;Norra Karelen
849;Toholampi;Toholampi;Kunta;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;745; Kokkolan yksikkö; Enheten i Karleby;15;Keski-Pohjanmaa;Mellersta Österbotten
850;Toivakka;Toivakka;Kunta;suomi - ruotsi;11;Keski-Suomen vaalipiiri;Mellersta Finlands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;113; Jyväskylän yksikkö; Enheten i Jyväskylä;12;Keski-Suomi;Mellersta Finland
851;Tornio;Torneå;Kaupunki;suomi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;757; Kemin yksikkö; Enheten i Kemi;18;Lappi;Lappland
853;Turku;Åbo;Kaupunki;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;107; Turun yksikkö; Enheten i Åbo;2;Varsinais-Suomi;Egentliga Finland
854;Pello;Pello;Kunta;suomi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;757; Kemin yksikkö; Enheten i Kemi;18;Lappi;Lappland
857;Tuusniemi;Tuusniemi;Kunta;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;120; Kuopion yksikkö; Enheten i Kuopio;10;Pohjois-Savo;Norra Savolax
858;Tuusula;Tusby;Kunta;suomi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;332; Hyvinkään yksikkö; Enheten i Hyvinge;1;Uusimaa;Nyland
859;Tyrnävä;Tyrnävä;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;127; Oulun yksikkö; Enheten i Uleåborg;16;Pohjois-Pohjanmaa;Norra Österbotten
886;Ulvila;Ulvsby;Kaupunki;suomi;4;Satakunnan vaalipiiri;Satakunta valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;110; Porin yksikkö; Enheten i Björneborg;3;Satakunta;Satakunta
887;Urjala;Urjala;Kunta;suomi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;114; Tampereen yksikkö; Enheten i Tammerfors;5;Pirkanmaa;Birkaland
889;Utajärvi;Utajärvi;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;127; Oulun yksikkö; Enheten i Uleåborg;16;Pohjois-Pohjanmaa;Norra Österbotten
890;Utsjoki;Utsjoki;Kunta;ruotsi - suomi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;759; Kittilän yksikkö; Enheten i Kittilä;18;Lappi;Lappland
892;Uurainen;Uurainen;Kunta;suomi;11;Keski-Suomen vaalipiiri;Mellersta Finlands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;113; Jyväskylän yksikkö; Enheten i Jyväskylä;12;Keski-Suomi;Mellersta Finland
893;Uusikaarlepyy;Nykarleby;Kaupunki;suomi - ruotsi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;118; Pietarsaaren yksikkö; Enheten i Jakobstad;14;Pohjanmaa;Österbotten
895;Uusikaupunki;Nystad;Kaupunki;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;111; Rauman yksikkö; Enheten i Raumo;2;Varsinais-Suomi;Egentliga Finland
905;Vaasa;Vasa;Kaupunki;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;116; Vaasan yksikkö; Enheten i Vasa;14;Pohjanmaa;Österbotten
908;Valkeakoski;Valkeakoski;Kaupunki;suomi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;114; Tampereen yksikkö; Enheten i Tammerfors;5;Pirkanmaa;Birkaland
911;Valtimo;Valtimo;Kunta;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;125; Joensuun yksikkö; Enheten i Joensuu;11;Pohjois-Karjala;Norra Karelen
915;Varkaus;Varkaus;Kaupunki;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;122; Varkauden yksikkö; Enheten i Varkaus;10;Pohjois-Savo;Norra Savolax
918;Vehmaa;Vehmaa;Kunta;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;111; Rauman yksikkö; Enheten i Raumo;2;Varsinais-Suomi;Egentliga Finland
921;Vesanto;Vesanto;Kunta;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;120; Kuopion yksikkö; Enheten i Kuopio;10;Pohjois-Savo;Norra Savolax
922;Vesilahti;Vesilahti;Kunta;suomi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;114; Tampereen yksikkö; Enheten i Tammerfors;5;Pirkanmaa;Birkaland
924;Veteli;Vetil;Kunta;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;745; Kokkolan yksikkö; Enheten i Karleby;15;Keski-Pohjanmaa;Mellersta Österbotten
925;Vieremä;Vieremä;Kunta;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;121; Iisalmen yksikkö; Enheten i Idensalmi;10;Pohjois-Savo;Norra Savolax
927;Vihti;Vichtis;Kunta;suomi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;302;Helsingin yksikkö; Enheten i Helsingfors;1;Uusimaa;Nyland
931;Viitasaari;Viitasaari;Kaupunki;suomi;11;Keski-Suomen vaalipiiri;Mellersta Finlands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;113; Jyväskylän yksikkö; Enheten i Jyväskylä;12;Keski-Suomi;Mellersta Finland
934;Vimpeli;Vimpeli;Kunta;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;119; Seinäjoen yksikkö; Enheten i Seinäjoki;13;Etelä-Pohjanmaa;Södra Österbotten
935;Virolahti;Virolahti;Kunta;ruotsi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;790;Kaakkois-Suomen maistraatti;Magistraten i Sydöstra Finland;106; Kotkan yksikkö; Enheten i Kotka;7;Kymenlaakso;Kymmenedalen
936;Virrat;Virdois;Kaupunki;ruotsi - suomi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;115; Mänttä-Vilppulan yksikkö; Enheten i Mänttä-Vilppula;5;Pirkanmaa;Birkaland
941;Vårdö;Vårdö;Kunta;suomi;5;Ahvenanmaan maakunnan vaalipiiri;Landskapet Ålands valkrets;718;Statens ämbetsverk på Åland Magistratsavdelningen;Statens ämbetsverk på Åland Magistratsavdelningen;;0;0;19;Ahvenanmaa;Åland
946;Vöyri;Vörå;Kunta;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;118; Pietarsaaren yksikkö; Enheten i Jakobstad;14;Pohjanmaa;Österbotten
976;Ylitornio;Övertorneå;Kunta;suomi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;757; Kemin yksikkö; Enheten i Kemi;18;Lappi;Lappland
977;Ylivieska;Ylivieska;Kaupunki;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;130; Ylivieskan yksikkö; Enheten i Ylivieska;16;Pohjois-Pohjanmaa;Norra Österbotten
