KUNTANRO;KUNTANIMIFI;KUNTANIMISV;KIELISYYS;LAKKAUTUSPVM
415;Leivonmäki;Leivonmäki;suomi;31122007
419;Lemu;Lemu;suomi;31122008
424;Liljendal;Liljendal;ruotsi - suomi;31122009
427;Lohja;Lojo;suomi;1011997
428;Lohjan kunta;Lojo kommun;suomi - ruotsi;1011997
429;Lohtaja;Lochteå;suomi;31122008
431;Loimaan kunta;Loimaa kommun;suomi;31122004
432;Lokalahti;Lokalahti;suomi;1011981
437;Lumivaara;Lumivaara;suomi;19091944
439;Luopioinen;Luopioinen;suomi;31122006
442;Luvia;Luvia;suomi;31122016
443;Längelmäki;Längelmäki;suomi;31122006
477;Maaria;S:t Marie;suomi;1011967
479;Maksamaa;Maxmo;ruotsi - suomi;31122006
482;Mellilä;Mellilä;suomi;31122008
485;Merimasku;Merimasku;suomi;31122008
486;Messukylä;Messukylä;suomi;1011947
487;Metsämaa;Metsämaa;suomi;1011976
488;Metsäpirtti;Metsäpirtti;suomi;19091944
490;Mietoinen;Mietoinen;suomi;31122006
492;Mikkelin mlk;S:t Michels lk;suomi;31122000
493;Mouhijärvi;Mouhijärvi;suomi;31122008
496;Munsala;Munsala;ruotsi;1011975
497;Muolaa;Muolaa;suomi;19091944
501;Muurla;Muurla;suomi;31122008
502;Muuruvesi;Muuruvesi;suomi;1011971
506;Mänttä;Mänttä;suomi;31122008
530;Naantalin mlk;Nådendals lk;suomi;1011964
532;Nastola;Nastola;suomi;31122015
533;Nauvo;Nagu;ruotsi - suomi;31122008
534;Nilsiä;Nilsiä;suomi;31122012
537;Noormarkku;Norrmark;suomi;31122009
539;Nuijamaa;Nuijamaa;suomi;1011989
540;Nummi-Pusula;Nummi-Pusula;suomi;31122012
542;Nurmeksen mlk;Nurmes lk;suomi;1011973
544;Nurmo;Nurmo;suomi;31122008
559;Oravainen;Oravais;ruotsi - suomi;31122010
565;Oulujoki;Oulujoki;suomi;1011965
566;Oulunkylä;Åggelby;suomi - ruotsi;1011946
567;Oulunsalo;Oulunsalo;suomi;31122012
573;Parainen;Pargas;ruotsi - suomi;31122008
574;Paattinen;Paattinen;suomi;1011973
575;Paavola;Paavola;suomi;1011973
579;Paraisten mlk;Pargas lk;ruotsi - suomi;1011967
582;Pattijoki;Pattijoki;suomi;31122002
585;Pernaja;Pernå;ruotsi - suomi;31122009
586;Perniö;Bjärnå;suomi;31122008
587;Pertteli;Pertteli;suomi;31122008
589;Peräseinäjoki;Peräseinäjoki;suomi;31122004
590;Petolahti;Petalax;ruotsi;1011973
591;Petsamo;Petsamo;suomi;19091944
594;Pieksämäen mlk;Pieksämäki lk;suomi;31122003
596;Pielisensuu;Pielisensuu;suomi;1011954
597;Pielisjärvi;Pielisjärvi;suomi;1011973
600;Pihlajavesi;Pihlajavesi;suomi;1011969
602;Piikkiö;Pikis;suomi;31122008
603;Piippola;Piippola;suomi;31122008
605;Pirttikylä;Pörtom;ruotsi;1011973
606;Pohja;Pojo;suomi - ruotsi;31122008
610;Porin mlk;Björneborgs lk;suomi;1011967
612;Porvoo;Borgå;suomi - ruotsi;1011997
613;Porvoon mlk;Borgå lk;suomi - ruotsi;1011997
617;Pulkkila;Pulkkila;suomi;31122008
618;Punkaharju;Punkaharju;suomi;31122012
621;Purmo;Purmo;ruotsi;1011977
622;Pusula;Pusula;suomi;1011981
627;Pyhäjärvi Ul;Pyhäjärvi Nyl l;suomi;1011969
628;Pyhäjärvi Vpl;Pyhäjärvi Vib l;suomi;19091944
629;Pyhämaa;Pyhämaa;suomi;1011974
632;Pyhäselkä;Pyhäselkä;suomi;31122008
633;Pylkönmäki;Pylkönmäki;suomi;31122008
634;Pälkjärvi;Pälkjärvi;suomi;1011946
637;Pohjaslahti;Pohjaslahti;suomi;1011973
640;Pieksänmaa;Pieksänmaa;suomi;31122006
679;Raippaluoto;Replot;suomi - ruotsi;1011973
682;Rantsila;Rantsila;suomi;31122008
685;Rauman mlk;Raumo lk;suomi;1011993
688;Rautio;Rautio;suomi;1011973
690;Rautu;Rautu;suomi;19091944
692;Renko;Renko;suomi;31122008
693;Revonlahti;Revolax;suomi;1011973
695;Riistavesi;Riistavesi;suomi;1011973
696;Ristiina;Ristiina;suomi;31122012
699;Rovaniemen mlk;Rovaniemi lk;suomi;31122005
701;Ruotsinpyhtää;Strömfors;suomi - ruotsi;31122009
703;Ruskeala;Ruskeala;suomi;19091944
705;Rymättylä;Rimito;suomi;31122008
706;Räisälä;Räisälä;suomi;19091944
708;Ruukki;Ruukki;suomi;31122006
728;Saari;Saari;suomi;31122004
730;Sahalahti;Sahalahti;suomi;31122004
731;Sakkola;Sakkola;suomi;19091944
733;Salmi;Salmi;suomi;19091944
735;Saloinen;Saloinen;suomi;1011973
737;Sammatti;Sammatti;suomi;31122008
741;Savonranta;Savonranta;suomi;31122008
744;Seinäjoen mlk;Seinäjoki lk;suomi;1011959
745;Seiskari;Seiskari;suomi;19091944
750;Siipyy;Sideby;ruotsi - suomi;1011973
752;Simpele;Simpele;suomi;1011973
754;Anjalankoski;Anjalankoski;suomi;31122008
756;Snappertuna;Snappertuna;ruotsi;1011977
757;Soanlahti;Soanlahti;suomi;19091944
760;Somerniemi;Somerniemi;suomi;1011977
763;Sortavala;Sortavala;suomi;19091944
764;Sortavalan mlk;Sortavala lk;suomi;19091944
767;Suistamo;Suistamo;suomi;19091944
769;Sulva;Solf;ruotsi;1011973
770;Sumiainen;Sumiainen;suomi;31122006
772;Suodenniemi;Suodenniemi;suomi;31122006
773;Suojärvi;Suojärvi;suomi;19091944
774;Suolahti;Suolahti;suomi;31122006
775;Suomenniemi;Suomenniemi;suomi;31122012
776;Suomusjärvi;Suomusjärvi;suomi;31122008
779;Suoniemi;Suoniemi;suomi;1011973
780;Suursaari;Suursaari;suomi;19091944
782;Säkkijärvi;Säkkijärvi;suomi;1011946
784;Särkisalo;Finby;suomi - ruotsi;31122008
786;Säyneinen;Säyneinen;suomi;1011971
787;Säynätsalo;Säynätsalo;suomi;1011993
788;Sääksmäki;Sääksmäki;suomi;1011973
789;Sääminki;Sääminki;suomi;1011973
835;Tammisaari;Ekenäs;ruotsi - suomi;31122008
836;Tammisaaren mlk;Ekenäs lk;ruotsi - suomi;1011977
839;Teerijärvi;Terjärv;ruotsi;1011969
840;Teisko;Teisko;suomi;1011972
841;Temmes;Temmes;suomi;31122000
842;Tenhola;Tenala;ruotsi - suomi;1011993
843;Terijoki;Terijoki;suomi;19091944
847;Tiukka;Tjöck;ruotsi - suomi;1011973
852;Tottijärvi;Tottijärvi;suomi;1011976
855;Tuulos;Tuulos;suomi;31122008
856;Tuupovaara;Tuupovaara;suomi;31122004
860;Tyrväntö;Tyrväntö;suomi;1011971
861;Tyrvää;Tyrvää;suomi;1011973
862;Tytärsaari;Tytärsaari;suomi;19091944
863;Töysä;Töysä;suomi;31122012
864;Toijala;Toijala;suomi;31122006
885;Ullava;Ullava;suomi;31122008
888;Uskela;Uskela;suomi;1011967
891;Uukuniemi;Uukuniemi;suomi;31122004
894;Uudenkaarlepyyn mlk;Nykarleby lk;ruotsi;1011975
896;Uudenkaupungin mlk;Nystads lk;suomi;1011969
897;Uusikirkko;Uusikirkko;suomi;19091944
906;Vahto;Vahto;suomi;31122008
907;Vahviala;Vahviala;suomi;1011946
909;Valkeala;Valkeala;suomi;31122008
910;Valkjärvi;Valkjärvi;suomi;19091944
912;Vammala;Vammala;suomi;31122008
913;Vampula;Vampula;suomi;31122008
914;Vanaja;Vanaja;suomi;1011967
916;Varpaisjärvi;Varpaisjärvi;suomi;31122010
917;Vehkalahti;Veckelax;suomi;31122002
919;Vehmersalmi;Vehmersalmi;suomi;31122004
920;Velkua;Velkua;suomi;31122008
923;Västanfjärd;Västanfjärd;ruotsi - suomi;31122008
926;Vihanti;Vihanti;suomi;31122012
928;Viiala;Viiala;suomi;31122006
929;Viipuri;Viborg;suomi;19091944
930;Viipurin mlk;Viborgs lk;suomi;19091944
932;Viljakkala;Viljakkala;suomi;31122006
933;Vilppula;Vilppula;suomi;31122008
937;Virtasalmi;Virtasalmi;suomi;31122003
938;Vuoksela;Vuoksela;suomi;19091944
939;Vuoksenranta;Vuoksenranta;suomi;19091944
940;Vuolijoki;Vuolijoki;suomi;31122006
942;Vähäkyrö;Lillkyro;suomi;31122012
943;Värtsilä;Värtsilä;suomi;31122004
944;Vöyri;Vörå;ruotsi - suomi;31122006
945;Vöyri-Maksamaa;Vörå-Maxmo;ruotsi - suomi;31122010
971;Ylihärmä;Ylihärmä;suomi;31122008
972;Yli-Ii;Yli-Ii;suomi;31122012
973;Ylikiiminki;Ylikiiminki;suomi;31122008
974;Ylimarkku;Övermark;ruotsi;1011973
975;Ylistaro;Ylistaro;suomi;31122008
978;Ylämaa;Ylämaa;suomi;31122009
979;Yläne;Yläne;suomi;31122008
988;Äetsä;Äetsä;suomi;31122008
990;Ähtävä;Esse;ruotsi;1011977
991;Äyräpää;Äyräpää;suomi;19091944
993;Äänekosken mlk;Äänekoski lk;suomi;1011969
994;Pirkkala;Pirkkala;suomi;1011922
997;Öja;Öja;ruotsi;1011969
